"AIRName","SourceID","AIRStreet","FacLat","FacLong"
"AGGIE CLEANERS","06000000480416E020","111 COLLEGE MAIN",30.61869,-96.34588
"ALL SEASONS 1 HR CLEANERS","06000000480416E015","2501 TEXAS AVENUE SOUTH #D100",30.60704,-96.30875
"BRYAN CLEANERS & LAUNDRY","06000000480416E012","1803 HOLLEMAN DRIVE",30.61225,-96.317503
"COMET 1 HR CLEANERS","06000000480416E013","1712 SOUTHWEST PARKWAY #101",30.60616,-96.31034
"EAGLE DRY CLEANING","06000000480416E017","900-8 HARVEY ROAD",30.62254,-96.31053
"EARLY BIRD CLEANERS (CROWN)","06000000480416E019","615 EAST UNIVERSITY DRIVE",30.619764,-96.343989
"FABRIC CARE CLEANERS","06000000480416E014","2418 SOUTHWEST PARKWAY",30.60678,-96.30969
"FABRIC CARE DRY CLEANERS","06000000480416E001","4343 WELLBOURNE ROAD",30.621491,-96.35352
"JOT 59 DRY CLEANERS","06000000480416E016","103 HOLLEMAN DRIVE",30.59645,-96.33268
"KIRK'S DRY CLEANING #2","06000000480416E021","313 SOUTH COLLEGE",30.624409,-96.342948
"PARK CLEANERS","06000000480416E018","314 GEORGE BUSH DRIVE",30.60572,-96.33784
"RIDGECREST $1.79 DRY CLEANING","06000000480416E008","3502 SOUTH TEXAS AVENUE",30.63881,-96.34786
"TEXAS A&M UNIVERSITY COLLEGE STATION CAMPUS","TX0000004804100003","1111 RESEARCH PKWY",30.60368,-96.358106
"WEST CAMPUS COGENERATION COMPANY","TX0000004804100039","WELLBORN ROAD & UNIVERSITY DR.",30.615655,-96.348601
